1079,411
318,696
968,1045
1429,539
25,117
460,583
344,337
1280,96
1687,622
779,65
172,431
1138,435
295,541
370,430
368,568
1058,613
509,460
709,99
430,751
1454,308
1221,886
720,391
1029,976
1761,39
1510,154
1451,601
497,105
1007,688
1854,958
1654,1011
1672,219
821,632
1258,724
1564,489
1593,721
1915,261
125,359
1297,794
1292,111
1331,294
1605,286
22,197
230,459
825,301
651,16
1393,645
708,520
1682,1052
593,590
823,822
1404,1062
1455,744
403,997
1668,1013
897,458
425,441
136,288
319,330
30,1028
1284,679
97,465
729,969
1463,235
110,918
774,64
1676,676
653,2
1278,610
349,1050
541,186
760,975
375,1019
1796,107
539,67
1324,14
772,154
916,780
288,346
1398,745
1915,954
1886,109
1677,481
1918,11
668,847
1583,747
1615,879
1669,615
81,505
13,843
414,253
678,869
1005,34
889,156
186,364
1814,694
623,291
300,705
686,384
229,770
574,379
