9875,3694
3726,5189
484,4262
2489,6644
10950,14735
138,7747
4182,6303
10616,11664
9699,7929
10065,6537
10149,884
3179,5411
3672,13220
1709,7586
6807,11378
1563,10668
2206,956
3497,10704
11662,3951
10112,14007
2958,5543
3872,13330
3728,14716
2009,13172
1975,14708
4630,14040
5982,6437
6921,13514
1258,10695
5208,12950
13710,7983
4712,2620
11532,13450
14066,10023
8327,13436
8229,10982
6700,9589
7078,6019
13,6571
1956,10348
181,14731
11574,14586
1246,113
7047,5119
12107,10485
3445,7737
2090,12971
7036,909
90,11162
13452,5717
6806,2377
12225,3144
10022,9010
2648,989
148,11611
4555,7317
12123,545
570,9850
411,2757
3463,6279
1215,267
13593,8925
89,2656
2022,13676
13910,11840
9601,12517
3729,9003
6380,1406
4203,5528
3888,10577
1310,7273
10271,12725
2672,14462
4925,788
4252,2893
10147,11363
13250,1024
2408,6992
4886,6867
5176,5777
5288,3434
3730,9985
8972,6764
5169,1408
2373,11321
8790,5398
9617,3774
13180,12565
3109,12865
11784,2176
14673,5249
13334,9317
12841,14788
2373,3899
3451,922
13138,8488
4017,5279
2403,3938
7355,14736
13318,11655
1670,13650
13054,14194
2768,12960
6956,6757
14230,4276
6091,912
13271,8038
8444,13679
13616,6141
6598,9825
12052,11343
11551,7951
7356,13036
3372,1617
14085,1777
4609,10410
9160,3231
11862,2451
1417,5894
9614,4468
3192,11164
3302,8060
3658,13989
10758,6345
991,7463
2467,13651
14514,322
1677,2383
8763,7372
163,5608
13947,4433
9430,11330
11492,6360
5397,9752
9309,9205
2001,8200
9118,5505
10843,9646
12531,128
9848,5081
8707,2936
9033,2190
9224,8943
760,3022
363,11403
5403,11512
9254,8592
11081,12858
8320,787
8120,5888
2161,10172
5041,1607
12446,13100
8319,11203
4491,11307
2755,14792
4118,11284
13169,13174
14888,4145
1147,8835
9181,1875
2914,9367
11537,14890
10829,11363
4458,339
1790,5715
10297,574
10718,1077
3028,11629
6474,11066
10611,2485
922,12533
2228,7280
14463,11986
5038,14444
8150,14965
2111,4107
8542,3820
6990,2866
6708,3027
5800,8296
12237,7763
10021,9282
6826,6061
6983,12465
4904,7423
5756,14757
10864,11273
3484,11991
13867,12142
11289,14399
6663,9936
4645,10670
14746,8046
667,3867
6077,4487
3977,4513
9883,11593
13761,3596
5455,13145
12297,11240
13513,9105
14652,10137
3608,7415
10307,6779
6093,4528
5347,7829
6532,6605
13349,8829
13930,11419
4422,12705
11920,2224
9775,11294
9017,8910
13938,4346
231,3880
3171,2149
2726,5135
11707,10085
7860,7053
2387,1049
5761,10379
9762,9782
1666,1863
2088,11729
10529,10935
13609,8060
12902,10703
294,13019
5816,8414
5610,9727
2314,11361
13125,11018
7448,13021
4580,12790
11944,10994
5714,13747
2298,3016
2440,2252
7906,87
6999,3328
6843,1378
2520,6636
7171,14262
4864,14515
10118,4417
12845,12900
5131,10550
1848,12112
9771,10808
1497,4197
4473,3517
374,13610
8584,13326
4896,13647
14641,10345
5221,7087
7624,14249
13584,1065
14915,2750
14708,13179
5942,9193
13856,8325
12874,7356
5797,13696
5441,7867
12325,2792
3782,4892
12079,13168
8346,14001
9263,7008
174,2345
7367,8406
13411,10428
10310,6568
4662,10923
1354,4858
5764,14092
4884,1863
12736,11461
7548,12350
14059,14445
